,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s
0,0.661,0.713,0,-8.393,0,0.0723,0.0575,0.0,0.367,0.433,124.005,4,117.347
1,0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,4,215.111
2,0.438,0.495,1,-9.697,0,0.0742,0.305,0.157,0.16,0.778,166.851,5,212.966
3,0.577,0.747,11,-9.884,0,0.183,0.173,0.0,0.175,0.713,158.853,4,76.347
4,0.233,0.933,6,-5.804,1,0.0572,0.00694,0.642,0.101,0.42,95.972,3,191.32
5,0.141,0.946,1,-5.97,1,0.121,0.000289,0.0729,0.0463,0.0388,168.342,4,219.592
6,0.445,0.367,0,-13.086,1,0.0452,0.761,0.075,0.0987,0.202,155.675,4,165.592
7,0.758,0.299,7,-10.01,1,0.0295,0.409,0.255,0.116,0.273,138.099,4,341.993
8,0.615,0.71,1,-7.542,1,0.0543,0.226,0.00176,0.315,0.365,134.736,4,229.84
9,0.553,0.824,4,-5.261,0,0.055,0.00185,0.82,0.305,0.608,150.122,4,242.694
10,0.467,0.936,4,-7.212,0,0.156,0.0167,0.371,0.591,0.327,100.377,4,261.332
11,0.324,0.405,2,-6.108,1,0.031,0.536,0.0592,0.679,0.29,55.927,5,57.253
12,0.269,0.885,11,-5.938,0,0.0948,0.029,0.795,0.132,0.325,129.191,4,251.72
13,0.672,0.588,1,-10.026,0,0.0413,0.136,0.0735,0.148,0.852,116.966,4,275.093
14,0.299,0.724,11,-6.233,0,0.0441,0.38,0.035,0.164,0.437,48.316,4,182.987
15,0.514,0.839,5,-5.787,1,0.0841,0.0614,0.0009,0.596,0.136,103.214,3,310.707
16,0.455,0.92,0,-6.366,1,0.0537,1.65e-05,0.14,0.417,0.46,116.04,4,167.96
17,0.353,0.921,1,-5.289,1,0.0557,0.00185,0.293,0.121,0.244,92.377,4,236.44
18,0.198,0.871,0,-4.64,1,0.0781,0.00821,0.222,0.213,0.164,98.954,4,114.333
19,0.61,0.772,8,-7.621,1,0.0331,0.335,0.142,0.393,0.717,160.033,4,240.68
20,0.615,0.911,10,-4.588,1,0.0495,0.128,0.324,0.0737,0.784,99.923,4,546.451
21,0.739,0.75,6,-4.96,1,0.0942,0.00924,0.0307,0.0534,0.784,98.331,4,453.453
22,0.596,0.763,5,-7.464,1,0.0294,0.105,0.207,0.949,0.864,91.407,4,202.133
23,0.5,0.883,7,-5.999,1,0.0408,0.00933,0.00287,0.145,0.737,95.046,4,807.544
24,0.485,0.737,6,-4.553,0,0.0419,0.531,0.502,0.192,0.527,115.027,4,610.253
25,0.317,0.916,2,-5.321,1,0.0458,0.00129,0.554,0.391,0.533,103.989,3,261.464
26,0.0685,0.912,0,-5.025,1,0.066,2.28e-05,0.0069,0.0825,0.25,185.428,4,961.24
27,0.493,0.812,2,-7.158,0,0.0443,0.222,0.552,0.525,0.0382,93.906,4,86.413
28,0.572,0.724,10,-8.007,1,0.0317,0.0359,0.394,0.133,0.732,132.002,4,182.427
29,0.601,0.904,4,-5.256,1,0.0351,0.00732,0.000258,0.485,0.484,110.006,3,215.733
30,0.297,0.852,7,-5.509,1,0.0495,0.00371,0.399,0.739,0.269,106.998,1,241.16
31,0.448,0.814,7,-5.383,1,0.0445,0.00019,0.692,0.345,0.417,140.172,4,218.96
32,0.56,0.874,4,-7.928,0,0.0513,0.00936,0.915,0.646,0.518,105.145,3,75.373
